0 | No data | no_data
10 | Cropland, rainfed | cropland_rainfed
11 | Cropland, rainfed, Herbaceous cover | cropland_rainfed_herbaceous_cover
12 | Cropland, rainfed, Tree or shrub cover | cropland_rainfed_tree_or_shrub_cover
20 | Cropland, irrigated or post-flooding | cropland_irrigated
30 | Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%) | mosaic_cropland
40 | Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) | mosaic_natural_vegetation
50 | Tree cover, broadleaved, evergreen, closed to open (>15%) | tree_broadleaved_evergreen_closed_to_open
60 | Tree cover, broadleaved, deciduous, closed to open (>15%) | tree_broadleaved_deciduous_closed_to_open
61 | Tree cover, broadleaved, deciduous, closed (>40%) | tree_broadleaved_deciduous_closed
62 | Tree cover, broadleaved, deciduous, open (15-40%) | tree_broadleaved_deciduous_open
70 | Tree cover, needleleaved, evergreen, closed to open (>15%) | tree_needleleaved_evergreen_closed_to_open
71 | Tree cover, needleleaved, evergreen, closed (>40%) | tree_needleleaved_evergreen_closed
72 | Tree cover, needleleaved, evergreen, open (15-40%) | tree_needleleaved_evergreen_open
80 | Tree cover, needleleaved, deciduous, closed to open (>15%) | tree_needleleaved_deciduous_closed_to_open
81 | Tree cover, needleleaved, deciduous, closed (>40%) | tree_needleleaved_deciduous_closed
82 | Tree cover, needleleaved, deciduous, open (15-40%) | tree_needleleaved_deciduous_open
90 | Tree cover, mixed leaf type (broadleaved and needleleaved) | tree_mixed
100 | Mosaic tree and shrub (>50%) / herbaceous cover (<50%) | mosaic_tree_and_shrub
110 | Mosaic herbaceous cover (>50%) / tree and shrub (<50%) | mosaic_herbaceous
120 | Shrubland | shrubland
130 | Grassland | grassland
140 | Lichens and mosses | lichens_and_mosses
150 | Sparse vegetation (tree, shrub, herbaceous cover) (<15%) | sparse_vegetation
160 | Tree cover, flooded, fresh or brakish water | tree_cover_flooded_fresh_or_brakish_water
170 | Tree cover, flooded, saline water | tree_cover_flooded_saline_water
180 | Shrub or herbaceous cover, flooded, fresh/saline/brakish water | shrub_or_herbaceous_cover_flooded
190 | Urban areas | urban
200 | Bare areas | bare_areas
210 | Water bodies | water
220 | Permanent snow and ice | snow_and_ice
